NAMA PERTANDINGAN: MY ROBOTIC CHALLENGE KATEGORI MIKROBOTIK,,,,,
KOD SEKOLAH,KATEGORI SEKOLAH,NAMA SEKOLAH,PARLIMEN,2024,2025
MBA0001,SK,5356 - SEKOLAH KEBANGSAAN MASJID TANAH,MASJID TANAH,TIADA,TIADA
MBA0002,SK,5357 - SEKOLAH KEBANGSAAN TANJUNG BIDARA,MASJID TANAH,TIADA,TIADA
MBA0003,SK,9870 - SEKOLAH KEBANGSAAN OTHMAN SYAWAL,MASJID TANAH,ADA,ADA
MBA0004,SK,5355 - SEKOLAH KEBANGSAAN BUKIT BERINGIN,MASJID TANAH,ADA,ADA
MBA0005,SK,5354 - SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,MASJID TANAH,ADA,TIADA
MBA0006,SK,5353 - SEKOLAH KEBANGSAAN RAMUAN CHINA KECHIL,MASJID TANAH,TIADA,TIADA
MBA0007,SK,5352 - SEKOLAH KEBANGSAAN AYER LIMAU,MASJID TANAH,TIADA,TIADA
MBA0008,SK,5351 - SEKOLAH KEBANGSAAN KUALA LINGGI,MASJID TANAH,TIADA,TIADA
MBA0009,SK,5350 - SEKOLAH KEBANGSAAN PENGKALAN BALAK,MASJID TANAH,TIADA,TIADA
MBA0010,SK,5349 - SEKOLAH KEBANGSAAN DURIAN DAUN 'K',MASJID TANAH,TIADA,TIADA
MBA0011,SK,5348 - SEKOLAH KEBANGSAAN LUBOK REDAN,MASJID TANAH,TIADA,TIADA
MBA0012,SK,5347 - SEKOLAH KEBANGSAAN JERAM,MASJID TANAH,TIADA,TIADA
MBA0013,SK,5346 - SEKOLAH KEBANGSAAN AIR JERNIH,MASJID TANAH,TIADA,TIADA
MBA0014,SK,5345 - SEKOLAH KEBANGSAAN KAMPUNG TENGAH,MASJID TANAH,TIADA,TIADA
MBA0015,SK,5344 - SEKOLAH KEBANGSAAN SUNGAI TUANG,MASJID TANAH,TIADA,TIADA
MBA0016,SK,5343 - SEKOLAH KEBANGSAAN TELOK BEREMBANG,MASJID TANAH,ADA,ADA
MBA0017,SK,5342 - SEKOLAH KEBANGSAAN SUNGAI JERNIH,MASJID TANAH,TIADA,TIADA
MBA0018,SK,5341 - SEKOLAH KEBANGSAAN RANTAU PANJANG,MASJID TANAH,TIADA,TIADA
MBA0020,SK,5340 - SEKOLAH KEBANGSAAN PADANG SEBANG,ALOR GAJAH,TIADA,ADA
MBA0021,SK,5339 - SEKOLAH KEBANGSAAN AYER PA' ABAS,MASJID TANAH,TIADA,TIADA
MBA0022,SK,5338 - SEKOLAH KEBANGSAAN SIMPANG EMPAT,MASJID TANAH,TIADA,ADA
MBA0023,SK,5337 - SEKOLAH KEBANGSAAN PULAU SEBANG,ALOR GAJAH,ADA,TIADA
MBA0024,SK,5336 - SEKOLAH KEBANGSAAN MELEKEK,MASJID TANAH,ADA,ADA
MBA0025,SK,5335 - SEKOLAH KEBANGSAAN GANUN,ALOR GAJAH,TIADA,ADA
MBA0026,SK,5334 - SEKOLAH KEBANGSAAN PARIT MELANA,ALOR GAJAH,ADA,TIADA
MBA0027,SK,5333 - SEKOLAH KEBANGSAAN SUNGAI PETAI,ALOR GAJAH,ADA,TIADA
MBA0028,SK,5331 - SEKOLAH KEBANGSAAN SUNGAI SIPUT,MASJID TANAH,ADA,ADA
MBA0029,SK,5332 - SEKOLAH KEBANGSAAN MELAKA PINDAH,ALOR GAJAH,TIADA,TIADA
MBA0030,SK,5330 - SEKOLAH KEBANGSAAN PEGOH,ALOR GAJAH,TIADA,TIADA
MBA0031,SK,5329 - SEKOLAH KEBANGSAAN BERISU,MASJID TANAH,TIADA,TIADA
MBA0032,SK,5328 - SEKOLAH KEBANGSAAN LENDU,MASJID TANAH,ADA,TIADA
MBA0033,SK,5327 - SEKOLAH KEBANGSAAN BELIMBING DALAM,ALOR GAJAH,ADA,TIADA
MBA0034,SK,5326 - SEKOLAH KEBANGSAAN RUMBIA,ALOR GAJAH,ADA,TIADA
MBA0035,SK,5325 - SEKOLAH KEBANGSAAN SUNGAI BULOH,MASJID TANAH,ADA,TIADA
MBA0036,SK,5324 - SEKOLAH KEBANGSAAN CHERANA PUTEH,MASJID TANAH,ADA,ADA
MBA0037,SK,1750 - SEKOLAH KEBANGSAAN TEBONG,ALOR GAJAH,ADA,ADA
MBA0038,SK,5322 - SEKOLAH KEBANGSAAN KEMUNING,ALOR GAJAH,ADA,ADA
MBA0039,SK,5320 - SEKOLAH KEBANGSAAN MENGGONG,ALOR GAJAH,TIADA,TIADA
MBA0040,SK,5319 - SEKOLAH KEBANGSAAN HUTAN PERCHA,ALOR GAJAH,ADA,ADA
MBA0041,SK,5318 - SEKOLAH KEBANGSAAN DURIAN TUNGGAL,ALOR GAJAH,TIADA,ADA
MBA0042,SK,5317 - SEKOLAH KEBANGSAAN KEM TERENDAK II,TANGGA BATU,ADA,TIADA
MBA0043,SK,5316 - SEKOLAH KEBANGSAAN GANGSA,ALOR GAJAH,ADA,TIADA
MBA0044,SK,9943 - SEKOLAH KEBANGSAAN LESONG BATU,ALOR GAJAH,TIADA,TIADA
MBA0045,SK,10036 - SEKOLAH KEBANGSAAN DEMANG TAHA,MASJID TANAH,TIADA,TIADA
MBB0041,SK,5241 - SEKOLAH KEBANGSAAN ALOR GAJAH 1,ALOR GAJAH,ADA,ADA
MBB0042,SK,5240 - SEKOLAH KEBANGSAAN DATO' NANING,ALOR GAJAH,ADA,ADA
MBB0043,SK,5239 - SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,MASJID TANAH,ADA,TIADA
MBB0044,SK,5238 - SEKOLAH KEBANGSAAN SRI LAKSAMANA,MASJID TANAH,ADA,ADA
MBC0046,SJKC,5220 - SEKOLAH JENIS KEBANGSAAN (CINA) PAY CHEE,ALOR GAJAH,TIADA,TIADA
MBC0047,SJKC,5219 - SEKOLAH JENIS KEBANGSAAN (CINA) ALOR GAJAH,ALOR GAJAH,TIADA,TIADA
MBC0048,SJKC,5217 - SEKOLAH JENIS KEBANGSAAN (CINA) SANN YUH,MASJID TANAH,ADA,TIADA
MBC0049,SJKC,5216 - SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN,ALOR GAJAH,TIADA,TIADA
MBC0050,SJKC,5215 - SEKOLAH JENIS KEBANGSAAN (CINA) SIN WAH,ALOR GAJAH,TIADA,TIADA
MBC0051,SJKC,5214 - SEKOLAH JENIS KEBANGSAAN (CINA) KIOW MIN,ALOR GAJAH,TIADA,TIADA
MBC0052,SJKC,5212 - SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,ALOR GAJAH,TIADA,TIADA
MBC0053,SJKC,5211 - SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,ALOR GAJAH,ADA,TIADA
MBC0054,SJKC,5210 - SEKOLAH JENIS KEBANGSAAN (CINA) TABOH NANING,MASJID TANAH,TIADA,TIADA
MBC0055,SJKC,5209 - SEKOLAH JENIS KEBANGSAAN (CINA) LENDU,MASJID TANAH,TIADA,TIADA
MBC0056,SJKC,5208 - SEKOLAH JENIS KEBANGSAAN (CINA) KHIAK YEW,ALOR GAJAH,TIADA,TIADA
MBC0057,SJKC,5207 - SEKOLAH JENIS KEBANGSAAN (CINA) MASJID TANAH,MASJID TANAH,TIADA,TIADA
MBC0058,SJKC,5206 - SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,MASJID TANAH,ADA,TIADA
MBC0059,SJKC,5205 - SEKOLAH JENIS KEBANGSAAN (CINA) PAYA MENGKUANG,MASJID TANAH,TIADA,TIADA
MBC0060,SJKC,5204 - SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN,MASJID TANAH,ADA,TIADA
MBC0061,SJKC,5202 - SEKOLAH JENIS KEBANGSAAN (CINA) CHABAU,ALOR GAJAH,TIADA,TIADA
MBD0061,SJKT,5151 - SEKOLAH JENIS KEBANGSAAN (TAMIL) ALOR GAJAH,ALOR GAJAH,ADA,ADA
MBD0062,SJKT,5150 - SEKOLAH JENIS KEBANGSAAN (TAMIL) DURIAN TUNGGAL,ALOR GAJAH,ADA,ADA
